Iteration,Metric,Min,Avg,Std,Max
0,Q1,0.027345416617336152,0.05163512723581494,0.012231119542100077,0.07825038999289995
0,Q2,0.03539976644542093,0.058673271860575825,0.016212515262165328,0.08882122428330771
0,Q3,0.04553846125150273,0.06843244653548416,0.014402376669107772,0.10020866734237203
0,Q4,0.100586082207835,0.1273779183341516,0.014299130626831892,0.16100885583674582
0,Q5,0.2623918400733849,0.3624729660661077,0.047636531412120556,0.43464224386288736
0,Business,0.4955808,0.49585181999999994,0.00020166473067941042,0.4963164
0,Government,0.10252459066666658,0.1026176204666666,3.1411385084678176e-05,0.10267170799999993
0,Susceptible,0.97,0.9790000000000001,0.0023804761428476134,0.98
0,Infected,0.01,0.011000000000000001,0.002380476142847617,0.02
0,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
0,Death,0.0,0.0,0.0,0.0
0,Asymptomatic,0.99,0.9921666666666665,0.002420973174388998,0.9966666666666667
0,Symptomatic,0.0033333333333333335,0.007333333333333333,0.0024944382578492943,0.01
0,Severe,0.0,0.0005,0.0015898986690282427,0.006666666666666667
1,Q1,0.027345416617336152,0.05163512723581494,0.012231119542100077,0.07825038999289995
1,Q2,0.03539976644542093,0.058673271860575825,0.016212515262165328,0.08882122428330771
1,Q3,0.04553846125150273,0.06843244653548416,0.014402376669107772,0.10020866734237203
1,Q4,0.100586082207835,0.1273779183341516,0.014299130626831892,0.16100885583674582
1,Q5,0.2623918400733849,0.3624729660661077,0.047636531412120556,0.43464224386288736
1,Business,0.4955808,0.49585181999999994,0.00020166473067941042,0.4963164
1,Government,0.10252459066666658,0.1026176204666666,3.1411385084678176e-05,0.10267170799999993
1,Susceptible,0.97,0.9790000000000001,0.0023804761428476134,0.98
1,Infected,0.01,0.011000000000000001,0.002380476142847617,0.02
1,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
1,Death,0.0,0.0,0.0,0.0
1,Asymptomatic,0.99,0.9921666666666665,0.002420973174388998,0.9966666666666667
1,Symptomatic,0.0033333333333333335,0.007333333333333333,0.0024944382578492943,0.01
1,Severe,0.0,0.0005,0.0015898986690282427,0.006666666666666667
